Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.021839,0.16712,-0.57927,0.015318,0.13016,0.10126,-0.49842,0.031009,0.0079241,c
0.36338,0.66079,-0.58157,0.20038,0.58507,0.45534,-0.32328,0.29318,0.1541,b
0.037767,0.22509,-0.58066,0.0095481,0.11767,0.14942,-0.47781,0.026656,0.015192,d
0.013442,0.13133,-0.63271,0.0035542,0.049677,0.095671,-0.60138,0.0092322,0.0046078,d
0.064671,0.29412,-0.52542,0.063015,0.31365,0.19572,-0.37311,0.099258,0.02001,d
0.1291,0.42923,-0.49072,0.06311,0.33971,0.24414,-0.39139,0.12543,0.028044,d
0.049703,0.21132,-0.68604,0.0035125,0.041559,0.1748,-0.61619,0.0075135,0.036069,c
0.025742,0.17156,-0.64699,0.0043788,0.070886,0.13895,-0.58841,0.015019,0.01238,c
0.055399,0.25608,-0.76864,0.010992,0.072637,0.15188,-0.61276,0.017404,0.024403,b
0.085181,0.36443,-0.52742,0.033293,0.2096,0.17623,-0.4669,0.062013,0.0094046,d
0.26331,0.44626,-0.5245,0.2069,0.53135,0.46403,-0.31308,0.25888,0.22827,d
0.16321,0.46593,-0.67983,0.038056,0.17765,0.25029,-0.57156,0.068101,0.047998,b
0.060631,0.28854,-0.74462,0.036713,0.12276,0.16529,-0.58805,0.056596,0.015706,b
0.079146,0.33231,-0.48791,0.07405,0.37639,0.22436,-0.3611,0.13515,0.020292,d
0.044578,0.21509,-0.62223,0.014333,0.11979,0.18453,-0.48994,0.027401,0.026167,d
0.2915,0.4564,-0.59426,0.036699,0.25589,0.5175,-0.42524,0.087166,0.26733,d
0.24139,0.52901,-0.69081,0.02565,0.16196,0.36151,-0.49686,0.047456,0.11216,b
0.031404,0.19656,-0.75409,0.013886,0.095261,0.14309,-0.58644,0.023979,0.012845,b
0.15555,0.45424,-0.51248,0.043274,0.28877,0.27393,-0.37041,0.094105,0.049839,d
0.41584,0.63573,-0.43145,0.18794,0.56448,0.48567,-0.31691,0.29476,0.28857,d
0.21712,0.53768,-0.40071,0.17719,0.58861,0.34072,-0.29046,0.33966,0.088592,d
0.083239,0.34211,-0.67736,0.021817,0.14239,0.20037,-0.47108,0.038655,0.01906,b
0.41239,0.60699,-0.58584,0.086249,0.38506,0.60738,-0.39021,0.14382,0.30339,d
0.16933,0.41776,-0.66422,0.042026,0.19492,0.35995,-0.44583,0.055476,0.10043,b
0.06684,0.2877,-0.59631,0.018562,0.14754,0.19991,-0.49876,0.037643,0.028086,d
0.068707,0.2809,-0.50662,0.059574,0.30226,0.1972,-0.39884,0.10336,0.032678,d
0.079008,0.3015,-0.67353,0.024866,0.19643,0.24409,-0.48431,0.059789,0.037383,b
0.10574,0.34394,-0.50754,0.11199,0.43713,0.22882,-0.34156,0.16992,0.053465,d
0.025492,0.18241,-0.73121,0.02597,0.083802,0.10183,-0.66586,0.043828,0.0090965,b
0.047054,0.21778,-0.61379,0.0085379,0.07249,0.18732,-0.55152,0.014459,0.029314,c
0.1387,0.42614,-0.8158,0.18264,0.25116,0.20655,-0.63245,0.26561,0.053074,b
0.063072,0.25633,-0.80316,0.0073639,0.094306,0.14885,-0.72277,0.038795,0.037616,b
0.013607,0.12897,-0.62888,0.0025398,0.039742,0.090733,-0.59348,0.006709,0.0055097,d
0.23527,0.47286,-0.55046,0.089702,0.35895,0.4202,-0.37198,0.14021,0.15963,d
0.051039,0.25916,-0.59759,0.019409,0.1404,0.17395,-0.48203,0.034097,0.015791,d
0.10894,0.38343,-0.69939,0.0082879,0.078722,0.22694,-0.55347,0.017804,0.02996,b
0.23168,0.47625,-0.52937,0.053848,0.24511,0.41157,-0.4274,0.075711,0.14979,d
0.033012,0.19534,-0.56397,0.0071944,0.062616,0.14139,-0.54733,0.011989,0.017044,c
0.050868,0.24488,-0.56227,0.013339,0.13044,0.19904,-0.53047,0.033998,0.026177,d
0.025545,0.14769,-0.6965,0.0034557,0.040921,0.13259,-0.62846,0.0072534,0.019662,c
0.0090542,0.10063,-0.6287,0.0064178,0.056891,0.080437,-0.57526,0.011006,0.0045792,d
0.18328,0.4752,-0.50107,0.083315,0.39513,0.33171,-0.3649,0.16862,0.07251,d
0.11781,0.36122,-0.65999,0.049152,0.24278,0.26111,-0.46636,0.076897,0.061304,b
0.058636,0.25378,-0.54353,0.051314,0.26823,0.17913,-0.39607,0.082419,0.030835,d
0.3962,0.65569,-0.40546,0.047145,0.36085,0.4899,-0.3755,0.14515,0.21453,d
0.13113,0.41551,-0.53624,0.083482,0.34372,0.25723,-0.39032,0.13196,0.040285,d
0.12109,0.34176,-0.47482,0.43342,0.89471,0.28595,-0.20542,0.55085,0.080023,d
0.020163,0.16831,-0.90819,0.00041341,0.0068643,0.055008,-0.89547,0.0012065,0.0046839,c
0.011064,0.11997,-0.63673,0.0028122,0.034543,0.079424,-0.60784,0.0057712,0.0036397,d
0.072047,0.2463,-0.66933,0.0096918,0.073194,0.22363,-0.52359,0.014053,0.056432,d
0.15064,0.37602,-0.64346,0.017535,0.1115,0.33507,-0.55126,0.027602,0.10322,d
